"PACKAGE","VERSION","LICENSE","LICENSE FILES","SOURCE ARCHIVE","SOURCE SITE","DEPENDENCIES WITH LICENSES"
"gcc-final","16.2.0","GPL-3.0-with-GCC-exception","COPYING.RUNTIME","gcc-16.2.0.tar.xz","https://ftpmirror.gnu.org/gcc/gcc-16.2.0","linux-headers [GPL-2.0] musl [MIT] musl-compat-headers [BSD-3-Clause, Public Domain or CC0] skeleton-init-common [GPL-2.0-or-later] skeleton-init-sysv [GPL-2.0-or-later]"
"musl","1.2.6","MIT","COPYRIGHT","musl-1.2.6.tar.gz","http://musl.libc.org/releases","linux-headers [GPL-2.0] musl-compat-headers [BSD-3-Clause, Public Domain or CC0] skeleton-init-common [GPL-2.0-or-later] skeleton-init-sysv [GPL-2.0-or-later]"
"linux-headers","7.2.4","GPL-2.0","COPYING LICENSES/preferred/GPL-2.0 LICENSES/exceptions/Linux-syscall-note","linux-7.2.4.tar.xz","https://cdn.kernel.org/pub/linux/kernel/v7.x","skeleton-init-common [GPL-2.0-or-later] skeleton-init-sysv [GPL-2.0-or-later]"
"avahi","0.8","LGPL-2.1+","LICENSE","avahi-0.8.tar.gz","https://github.com/avahi/avahi/releases/download/v0.8","dbus [AFL-2.0 or GPL-2.0+ (dbus/dbus-arch-deps.h.in), AFL-2.1 or GPL-2.0+ (library, daemon, some tools), GPL-2.0+ (some tools), MIT (some files), Public Domain (dbus-sha), TCL (dbus-hash), LicenseRef-CMakeScripts (cmake/modules/FindGLIB2.cmake), LicenseRef-GAP (dbus/versioninfo.rc.in)] expat [MIT] gcc-final [GPL-3.0-with-GCC-exception] libdaemon [LGPL-2.1+] libevent [BSD-3-Clause, OpenBSD] libffi [MIT] libglib2 [LGPL-2.1+] libopenssl [Apache-2.0] libzlib [Zlib] linux-headers [GPL-2.0] musl [MIT] musl-compat-headers [BSD-3-Clause, Public Domain or CC0] pcre2 [BSD-3-Clause] skeleton-init-common [GPL-2.0-or-later] skeleton-init-sysv [GPL-2.0-or-later]"
"dbus","1.16.2","AFL-2.0 or GPL-2.0+ (dbus/dbus-arch-deps.h.in), AFL-2.1 or GPL-2.0+ (library, daemon, some tools), GPL-2.0+ (some tools), MIT (some files), Public Domain (dbus-sha), TCL (dbus-hash), LicenseRef-CMakeScripts (cmake/modules/FindGLIB2.cmake), LicenseRef-GAP (dbus/versioninfo.rc.in)","COPYING LICENSES/AFL-2.0.txt LICENSES/AFL-2.1.txt LICENSES/GPL-2.0-or-later.txt LICENSES/LicenseRef-CMakeScripts.txt LICENSES/LicenseRef-GAP.txt LICENSES/LicenseRef-pycrypto-orig.txt LICENSES/MIT.txt LICENSES/TCL.txt","dbus-1.16.2.tar.xz","https://dbus.freedesktop.org/releases/dbus","expat [MIT] gcc-final [GPL-3.0-with-GCC-exception] linux-headers [GPL-2.0] musl [MIT] musl-compat-headers [BSD-3-Clause, Public Domain or CC0] skeleton-init-common [GPL-2.0-or-later] skeleton-init-sysv [GPL-2.0-or-later]"
"expat","2.8.4","MIT","COPYING","expat-2.8.4.tar.xz","https://github.com/libexpat/libexpat/releases/download/R_2_8_4","gcc-final [GPL-3.0-with-GCC-exception] linux-headers [GPL-2.0] musl [MIT] musl-compat-headers [BSD-3-Clause, Public Domain or CC0] skeleton-init-common [GPL-2.0-or-later] skeleton-init-sysv [GPL-2.0-or-later]"
"libdaemon","0.14","LGPL-2.1+","LICENSE","libdaemon-0.14.tar.gz","http://0pointer.de/lennart/projects/libdaemon","gcc-final [GPL-3.0-with-GCC-exception] linux-headers [GPL-2.0] musl [MIT] musl-compat-headers [BSD-3-Clause, Public Domain or CC0] skeleton-init-common [GPL-2.0-or-later] skeleton-init-sysv [GPL-2.0-or-later]"
"libevent","2.1.13","BSD-3-Clause, OpenBSD","LICENSE","libevent-2.1.13-stable.tar.gz","https://github.com/libevent/libevent/releases/download/release-2.1.13-stable","gcc-final [GPL-3.0-with-GCC-exception] libopenssl [Apache-2.0] libzlib [Zlib] linux-headers [GPL-2.0] musl [MIT] musl-compat-headers [BSD-3-Clause, Public Domain or CC0] skeleton-init-common [GPL-2.0-or-later] skeleton-init-sysv [GPL-2.0-or-later]"
"libopenssl","3.6.4","Apache-2.0","LICENSE.txt","openssl-3.6.4.tar.gz","https://github.com/openssl/openssl/releases/download/openssl-3.6.4","gcc-final [GPL-3.0-with-GCC-exception] libzlib [Zlib] linux-headers [GPL-2.0] musl [MIT] musl-compat-headers [BSD-3-Clause, Public Domain or CC0] skeleton-init-common [GPL-2.0-or-later] skeleton-init-sysv [GPL-2.0-or-later]"
"libzlib","1.3.2","Zlib","LICENSE","zlib-1.3.2.tar.xz","https://www.zlib.net","gcc-final [GPL-3.0-with-GCC-exception] linux-headers [GPL-2.0] musl [MIT] musl-compat-headers [BSD-3-Clause, Public Domain or CC0] skeleton-init-common [GPL-2.0-or-later] skeleton-init-sysv [GPL-2.0-or-later]"
"libglib2","2.88.3","LGPL-2.1+","COPYING","glib-2.88.3.tar.xz","https://download.gnome.org/sources/glib/2.88","gcc-final [GPL-3.0-with-GCC-exception] libffi [MIT] libzlib [Zlib] linux-headers [GPL-2.0] musl [MIT] musl-compat-headers [BSD-3-Clause, Public Domain or CC0] pcre2 [BSD-3-Clause] skeleton-init-common [GPL-2.0-or-later] skeleton-init-sysv [GPL-2.0-or-later]"
"libffi","3.8.0","MIT","LICENSE","libffi-3.8.0.tar.gz","https://github.com/libffi/libffi/releases/download/v3.8.0","gcc-final [GPL-3.0-with-GCC-exception] linux-headers [GPL-2.0] musl [MIT] musl-compat-headers [BSD-3-Clause, Public Domain or CC0] skeleton-init-common [GPL-2.0-or-later] skeleton-init-sysv [GPL-2.0-or-later]"
"pcre2","10.47","BSD-3-Clause","LICENCE.md","pcre2-10.47.tar.bz2","https://github.com/PCRE2Project/pcre2/releases/download/pcre2-10.47","gcc-final [GPL-3.0-with-GCC-exception] linux-headers [GPL-2.0] musl [MIT] musl-compat-headers [BSD-3-Clause, Public Domain or CC0] skeleton-init-common [GPL-2.0-or-later] skeleton-init-sysv [GPL-2.0-or-later]"
"bash","5.2.37","GPL-3.0+","COPYING","bash-5.2.37.tar.gz","https://ftpmirror.gnu.org/bash","gcc-final [GPL-3.0-with-GCC-exception] linux-headers [GPL-2.0] musl [MIT] musl-compat-headers [BSD-3-Clause, Public Domain or CC0] ncurses [MIT with advertising clause] readline [GPL-3.0+] skeleton-init-common [GPL-2.0-or-later] skeleton-init-sysv [GPL-2.0-or-later]"
"ncurses","6.6-20251231","MIT with advertising clause","COPYING","ncurses-6.6-20251231.tar.gz","https://github.com/ThomasDickey/ncurses-snapshots/archive/v6_6_20251231","gcc-final [GPL-3.0-with-GCC-exception] linux-headers [GPL-2.0] musl [MIT] musl-compat-headers [BSD-3-Clause, Public Domain or CC0] skeleton-init-common [GPL-2.0-or-later] skeleton-init-sysv [GPL-2.0-or-later]"
"readline","8.3","GPL-3.0+","COPYING","readline-8.3.tar.gz","https://ftpmirror.gnu.org/readline","gcc-final [GPL-3.0-with-GCC-exception] linux-headers [GPL-2.0] musl [MIT] musl-compat-headers [BSD-3-Clause, Public Domain or CC0] ncurses [MIT with advertising clause] skeleton-init-common [GPL-2.0-or-later] skeleton-init-sysv [GPL-2.0-or-later]"
"bluez5_utils-headers","5.86","GPL-2.0+, LGPL-2.1+","COPYING COPYING.LIB","bluez-5.86.tar.xz","https://cdn.kernel.org/pub/linux/bluetooth","gcc-final [GPL-3.0-with-GCC-exception] linux-headers [GPL-2.0] musl [MIT] musl-compat-headers [BSD-3-Clause, Public Domain or CC0] skeleton-init-common [GPL-2.0-or-later] skeleton-init-sysv [GPL-2.0-or-later]"
